Time,com.google.protobuf.UnknownFieldSet$Builder Data
0,793
1,4288
2,3138
3,3107
4,3186
5,867
6,4107
7,4062
8,3315
9,2511
10,3158
11,1419
12,3953
13,4441
14,1517
15,4437
16,4166
17,232
18,2795
19,249
20,2628
21,4152
22,3010
23,4485
24,5027
25,4851
26,190
27,268
28,765
29,1177
30,5039
31,1533
32,978
33,4756
34,4658
35,3685
36,4238
37,1533
38,212
39,5807
40,2955
41,1089
42,633
43,1725
44,116
45,5426
46,1419
47,5668
48,4292
49,4371
50,2347
51,3985
52,679
53,5119
54,4746
55,1588
56,1217
57,5340
58,1422
59,2889
60,6076
61,2802
62,3687
63,800
64,1268
65,4839
66,1058
67,1399
68,3145
69,6078
70,6078
71,908
72,3148
73,2973
74,4778
75,7031
76,6386
77,236
78,2257
79,1482
80,3068
81,3982
82,2812
83,3994
84,4448
85,2598
86,3876
87,3438
88,2041
89,2705
90,2186
91,2476
92,211
93,7514
94,7538
95,4600
96,3427
97,3191
98,146
99,6250
100,6491
101,2544
102,2496
103,96
104,4436
105,3722
106,1212
107,4728
108,3858
109,1371
110,5282
111,3932
112,596
113,7354
114,2741
115,8070
116,5965
117,1478
118,6367
119,7524
120,3149
121,7927
122,5180
123,8808
124,4808
125,2089
126,4670
127,1477
128,6170
129,8936
130,5539
131,7988
132,2766
133,7104
134,2193
135,6931
136,8756
137,3358
138,8861
139,1632
140,4995
141,9256
142,2878
143,8134
144,2909
145,5391
146,8984
147,4072
148,5580
149,8836
150,3335
151,4778
152,9222
153,2670
154,4060
155,845
156,3126
157,4226
158,7549
159,9595
160,240
161,3762
162,5319
163,6409
164,8759
165,944
166,3374
167,802
168,2624
169,5698
170,5825
171,7290
172,10008
173,9500
174,944
175,2981
176,2842
177,4150
178,6072
179,462
180,1487
181,3251
182,2990
183,4666
184,5493
185,4375
186,5668
187,7468
188,6260
189,7127
190,8295
191,2866
192,4511
193,4762
194,2954
195,4275
196,4670
197,2862
198,2823
199,1751
200,1624
201,1319
202,10894
