Time,com.mchange.v2.c3p0.stmt.GooGooStatementCache$1StatementCloseTask Data
0,264
1,253
2,220
3,240
4,224
5,248
6,241
7,238
8,219
9,245
10,271
11,284
12,256
13,247
14,241
15,245
16,274
17,241
18,288
19,222
20,267
21,183
22,332
23,257
24,277
25,286
26,294
27,226
28,365
29,256
30,186
31,251
32,435
33,290
34,222
35,265
36,204
37,157
38,454
39,450
40,268
41,245
42,232
43,416
44,371
45,209
46,252
47,241
48,434
49,481
50,286
51,412
52,446
53,488
54,290
55,476
56,263
57,178
58,240
59,329
60,429
61,257
62,512
63,302
64,195
65,424
66,512
67,261
68,442
69,322
70,488
71,512
72,183
73,267
74,521
75,252
76,270
77,492
78,237
79,246
80,496
81,253
82,206
83,253
84,212
85,455
86,547
87,319
88,279
89,504
90,230
91,274
92,261
93,492
94,517
95,505
96,253
97,426
98,234
99,243
100,302
101,271
102,292
103,420
104,304
105,451
106,518
107,238
108,295
109,244
110,250
111,228
112,539
