Time,com.sun.istack.FinalArrayList Data
0,17495
1,1963
2,415
3,36692
4,1989
5,415
6,36692
7,1987
8,415
9,36692
10,1984
11,415
12,36692
13,1978
14,415
15,36692
16,1962
17,415
18,36692
19,1995
20,415
21,36692
22,1981
23,415
24,36690
25,1959
26,415
27,86
28,36690
29,1994
30,415
31,36690
32,1984
33,415
34,36690
35,1989
36,415
37,36690
38,1979
39,415
40,36690
41,1993
42,415
43,36690
44,1994
45,415
46,36690
47,1979
48,415
49,36690
50,1988
51,415
52,36690
53,1996
54,415
55,36690
56,1970
57,415
58,36690
59,1981
60,415
61,36690
62,1962
63,415
64,36690
65,1982
66,415
67,36690
68,1993
69,415
70,36690
71,1991
72,415
73,36690
74,1996
75,415
76,36690
77,2010
78,415
79,36690
80,1997
81,415
82,36690
83,1960
84,415
85,86
86,36690
87,1976
88,415
89,36690
90,1959
91,415
92,36690
93,1974
94,415
95,36690
96,2008
97,415
98,36690
99,1972
100,415
101,36690
102,1974
103,415
104,36690
105,1996
106,415
107,36690
108,1997
109,415
110,36690
111,1994
112,415
113,36690
114,1977
115,415
116,36690
117,1973
118,415
119,36690
120,1968
121,415
122,36690
123,1996
124,415
125,36690
126,1980
127,415
128,36690
129,1974
130,415
131,36690
132,1960
133,415
134,36690
135,1981
136,415
137,36690
138,1960
139,415
140,36690
141,1996
142,415
143,36690
144,1974
145,415
146,36690
147,2013
148,415
149,36690
150,1983
151,415
152,36690
153,1960
154,415
155,36690
156,1997
157,415
158,36690
159,1977
160,415
161,36690
162,1989
163,415
164,36690
165,1977
166,415
167,36690
168,2010
169,415
170,36690
171,1998
172,415
173,36690
174,1982
175,415
176,36690
177,1960
178,415
179,36690
180,1963
181,415
182,36690
183,2002
184,415
185,36690
186,1971
187,415
188,36690
189,1988
190,415
191,36690
192,2007
193,415
194,36690
195,1969
196,415
197,36690
198,1989
199,415
200,36690
201,1959
202,415
203,36690
204,1963
205,415
206,36690
207,2008
208,415
209,36690
210,1957
211,415
212,36690
213,1964
214,415
215,36690
216,1987
217,415
218,36690
219,2000
220,415
221,36690
222,2002
223,415
224,36690
225,1972
226,415
227,36690
228,1977
229,415
230,36690
231,1983
232,415
233,36690
234,1997
235,415
236,36690
237,2007
238,415
239,36690
240,2016
241,415
242,36690
243,1967
244,415
245,36690
246,1967
247,415
248,36690
249,1967
250,415
251,36690
252,1980
253,415
254,36690
255,1983
256,415
257,36690
258,1983
259,415
260,36690
261,1986
262,415
263,36690
264,1985
265,415
266,36690
267,1988
268,415
269,36690
270,1989
271,415
272,36690
273,1996
274,415
275,36690
276,1989
277,415
278,36690
279,1982
280,415
281,36690
282,1980
283,415
284,36690
285,1968
286,415
287,36690
288,1963
289,415
290,36690
291,2022
292,415
293,36690
294,2012
295,415
296,36690
297,1992
298,415
299,36690
300,1993
301,415
302,36690
303,1982
304,415
305,36690
306,1963
307,415
308,36690
309,2021
310,415
311,36690
312,2007
313,415
314,36690
315,1985
316,415
317,36690
318,1979
319,415
320,36690
321,1967
322,415
323,36690
324,1993
325,415
326,36690
327,1987
328,415
329,36690
330,1973
331,415
332,36690
333,1995
334,415
335,36690
336,1983
337,415
338,36690
339,1973
340,415
341,36690
342,2008
343,415
344,36690
345,1986
346,415
347,36690
348,1976
349,415
350,36690
351,2007
352,415
353,36690
354,1982
355,415
356,36690
357,2035
358,415
359,36690
360,2001
361,415
362,36690
363,1968
364,415
365,36690
366,2018
367,415
368,36690
369,2014
370,415
371,36690
372,1985
373,415
374,36690
375,2032
376,415
377,36690
378,2004
379,415
380,36690
381,2028
382,415
383,36690
384,2001
385,415
386,36690
387,1977
388,415
389,36690
390,1996
391,415
392,36690
393,1975
394,415
395,36690
396,2015
397,415
398,36690
399,2034
400,415
401,36690
402,2002
403,415
404,36690
405,2028
406,415
407,36690
408,1980
409,415
410,36690
411,2024
412,415
413,36690
414,1980
415,415
416,36690
417,2006
418,415
419,36690
420,2032
421,415
422,36690
423,1993
424,415
425,36690
426,2021
427,415
428,36690
429,1976
430,415
431,36690
432,2015
433,415
434,36690
435,2043
436,415
437,36690
438,1985
439,415
440,36690
441,2031
442,415
443,36690
444,1976
445,415
446,36690
447,2005
448,415
449,36690
450,2038
451,415
452,36690
453,1993
454,415
455,36690
456,2005
457,415
458,36690
459,2038
460,415
461,36690
462,1992
463,415
464,36690
465,1999
466,415
467,36690
468,2032
469,415
470,36690
471,1984
472,415
473,36690
474,1993
475,415
476,36690
477,1960
478,415
479,36690
480,1987
481,415
482,36690
483,1996
484,415
485,36690
486,2022
487,415
488,36690
489,2051
490,415
491,36690
492,1965
493,415
494,36690
495,1987
496,415
497,36690
498,2012
499,415
500,36690
501,2008
502,415
503,36690
504,2032
505,415
506,36690
507,1976
508,415
509,36690
510,1979
511,415
512,36690
513,1963
514,415
515,36690
516,1987
517,415
518,36690
519,1998
520,415
521,36690
522,2002
523,415
524,36690
525,2026
526,415
527,36690
528,2037
529,415
530,36690
531,2038
532,415
533,36690
534,1976
535,415
536,36690
537,1975
538,415
539,36690
540,1985
541,415
542,36690
543,1996
544,415
545,36690
546,2008
547,415
548,36690
549,1964
550,415
551,36690
552,1974
553,415
554,36690
555,1983
556,415
557,36690
558,1989
559,415
560,36690
561,1997
562,415
563,36690
564,2007
565,415
566,36690
567,1991
568,415
569,36690
570,2013
571,415
572,36690
573,2007
574,415
575,36690
576,2012
577,415
578,36690
579,2020
580,415
581,36690
582,2027
583,415
584,36690
585,1988
586,415
587,36690
588,1996
589,415
590,36690
591,2006
592,415
593,36690
594,1988
595,415
596,36690
597,1992
598,415
599,36690
600,1999
601,415
602,36690
603,1985
604,415
605,36690
606,1990
607,415
608,36690
609,1969
610,415
611,36690
612,1982
613,415
614,36690
615,1976
616,415
617,36690
618,2050
619,415
