Time,java.lang.Class$ReflectionData Data
0,7973
1,8482
2,8485
3,8485
4,8485
5,8485
6,8485
7,8485
8,1279
9,1279
10,1279
11,1279
12,1279
13,1279
14,1279
15,1279
16,1279
17,1279
18,1279
19,1279
20,156
21,169
22,169
23,169
24,169
25,169
26,169
27,169
28,169
29,169
30,173
31,173
32,173
33,173
34,173
35,173
36,173
37,173
38,173
39,173
40,173
41,173
42,173
43,173
44,156
45,156
46,159
47,159
48,159
49,159
50,159
51,159
52,159
53,159
54,159
55,159
56,159
57,159
58,159
59,159
60,159
61,159
62,159
63,159
64,159
65,159
66,159
67,159
68,159
69,159
70,159
71,159
72,159
73,159
74,159
75,159
76,159
77,159
78,159
79,159
80,159
81,159
82,159
83,159
84,159
85,159
86,156
87,156
88,156
89,156
90,156
91,156
92,156
93,156
94,156
95,156
96,156
97,156
98,156
99,156
100,156
101,156
102,156
103,156
104,156
105,156
106,156
107,156
108,156
109,156
110,156
111,156
112,156
113,156
114,156
115,156
116,156
117,156
118,156
119,156
120,156
121,156
122,156
123,156
124,156
125,156
126,156
127,156
128,156
129,156
130,156
131,156
132,156
133,156
134,156
135,156
136,156
137,156
138,156
139,156
140,156
141,156
142,156
143,156
144,156
145,156
146,156
147,156
148,156
149,156
150,156
151,156
152,158
153,158
154,158
155,158
156,158
157,158
158,158
159,158
160,158
161,158
162,158
163,158
164,158
165,156
166,156
167,156
168,156
169,156
170,156
171,156
172,156
173,156
174,156
175,156
176,156
177,156
178,156
179,156
180,156
181,156
182,156
183,156
184,156
185,156
186,156
187,156
188,156
189,156
190,156
191,156
192,156
193,156
194,158
195,158
196,158
197,158
