Time,java.lang.Throwable Data
0,192
1,755
2,460
3,682
4,622
5,91
6,852
7,676
8,775
9,545
10,605
11,255
12,754
13,781
14,278
15,713
16,749
17,143
18,551
19,90
20,373
21,762
22,499
23,795
24,1038
25,871
26,223
27,241
28,977
29,225
30,224
31,802
32,843
33,806
34,592
35,201
36,131
37,944
38,381
39,360
40,112
41,339
42,881
43,232
44,1074
45,662
46,852
47,464
48,650
49,298
50,1046
51,887
52,520
53,888
54,232
55,454
56,964
57,451
58,648
59,1010
60,96
61,693
62,1100
63,928
64,230
65,544
66,576
67,858
68,1251
69,1122
70,103
71,372
72,133
73,474
74,677
75,427
76,664
77,677
78,491
79,689
80,798
81,412
82,419
83,536
84,388
85,1451
86,1346
87,807
88,766
89,625
90,1353
91,1147
92,470
93,287
94,89
95,743
96,581
97,242
98,851
99,602
100,247
101,987
102,653
103,263
104,1283
105,383
106,1638
107,990
108,120
109,1323
110,1396
111,420
112,1578
113,968
114,1551
115,877
116,467
117,812
118,197
119,1125
120,1631
121,888
122,1605
123,384
124,1200
125,503
126,1179
127,1569
128,753
129,1473
130,231
131,1073
132,1730
133,427
134,1641
135,515
136,933
137,1694
138,753
139,942
140,1694
141,729
142,858
143,1618
144,580
145,677
146,667
147,741
148,1335
149,1858
150,589
151,1075
152,1031
153,1572
154,221
155,578
156,609
157,917
158,897
159,1447
160,1704
161,1703
162,221
163,526
164,528
165,807
166,1178
167,91
168,293
169,661
170,499
171,840
172,990
173,768
174,1072
175,1325
176,1072
177,1399
178,1560
179,612
180,795
181,929
182,593
183,722
184,840
185,488
186,655
187,188
188,299
189,277
190,1858
