Time,java.net.InetSocketAddress Data
0,423
1,365
2,372
3,382
4,466
5,433
6,359
7,292
8,227
9,404
10,415
11,411
12,328
13,316
14,305
15,410
16,355
17,415
18,599
19,521
20,495
21,484
22,468
23,435
24,407
25,639
26,376
27,570
28,249
29,601
30,431
31,471
32,259
33,364
34,253
35,625
36,422
37,472
38,354
39,507
40,323
41,335
42,448
43,217
44,354
45,582
46,517
47,310
48,371
49,478
50,642
51,618
52,249
53,376
54,439
55,370
56,294
57,410
58,404
59,400
60,274
61,264
62,313
63,745
64,724
65,405
66,385
67,353
68,663
69,626
70,308
71,410
72,294
73,425
74,372
75,501
76,381
77,681
78,319
79,762
80,558
81,664
82,627
83,361
84,758
85,589
86,820
87,453
88,436
89,655
90,838
91,484
92,747
93,635
94,592
95,797
96,374
97,783
98,593
99,832
100,338
101,776
102,503
103,838
104,409
105,505
106,834
107,379
108,447
109,820
110,312
111,344
112,335
113,331
114,656
115,916
116,292
117,606
118,619
119,799
120,347
121,603
122,488
123,634
124,921
125,862
126,327
127,426
128,577
129,275
130,384
131,366
132,457
133,554
134,424
135,580
136,723
137,563
138,673
139,808
140,324
141,408
142,459
143,332
144,381
145,428
146,282
147,911
