Time,net.sf.cglib.asm.Type Data
0,2660
1,2666
2,2666
3,2666
4,2666
5,2666
6,2666
7,2666
8,2541
9,2541
10,2541
11,2541
12,2541
13,2541
14,2541
15,2541
16,2541
17,2541
18,2541
19,2541
20,2541
21,2541
22,2541
23,2541
24,2541
25,2541
26,2541
27,2541
28,2541
29,2541
30,2541
31,2541
32,2541
33,2541
34,2541
35,2541
36,2541
37,2541
38,2541
39,2541
40,2541
41,2541
42,2541
43,2541
44,2541
45,2541
46,2541
47,2541
48,2541
49,2541
50,2541
51,2541
52,2541
53,2541
54,2541
55,2541
56,2541
57,2541
58,2541
59,2541
60,2541
61,2541
62,2541
63,2541
64,2541
65,2541
66,2541
67,2541
68,2541
69,2541
70,2541
71,2541
72,2541
73,2541
74,2541
75,2541
76,2541
77,2541
78,2541
79,2541
80,2541
81,2541
82,2541
83,2541
84,2541
85,2541
86,2541
87,2541
88,2541
89,2541
90,2541
91,2541
92,2541
93,2541
94,2541
95,2541
96,2541
97,2541
98,2541
99,2541
100,2541
101,2541
102,2541
103,2541
104,2541
105,2541
106,2541
107,2541
108,2541
109,2541
110,2541
111,2541
112,2541
113,2541
114,2541
115,2541
116,2541
117,2541
118,2541
119,2541
120,2541
121,2541
122,2541
123,2541
124,2541
125,2541
126,2541
127,2541
128,2541
129,2541
130,2541
131,2541
132,2541
133,2541
134,2541
135,2541
136,2541
137,2541
138,2541
139,2541
140,2541
141,2541
142,2541
143,2541
144,2541
145,2541
146,2541
147,2541
148,2541
149,2541
150,2541
151,2541
152,2541
153,2541
154,2541
155,2541
156,2541
157,2541
158,2541
159,2541
160,2541
161,2541
162,2541
163,2541
164,2541
165,2541
166,2541
167,2541
168,2541
169,2541
170,2541
171,2541
172,2541
173,2541
174,2541
175,2541
176,2541
177,2541
178,2541
179,2541
180,2541
181,2541
182,2541
183,2541
184,2541
185,2541
186,2541
187,2541
188,2541
189,2541
190,2541
191,2541
192,2541
193,2541
194,2541
195,2541
196,2541
197,2541
198,2541
199,2541
200,2541
201,2541
202,2541
203,2541
204,2541
205,2541
