Time,org.apache.hadoop.fs.RawLocalFileSystem Data
0,138
1,151
2,165
3,180
4,193
5,207
6,222
7,235
8,250
9,264
10,277
11,291
12,306
13,319
14,333
15,348
16,361
17,376
18,390
19,403
20,418
21,432
22,445
23,460
24,474
25,489
26,496
27,508
28,523
29,537
30,550
31,565
32,579
33,594
34,607
35,621
36,636
37,649
38,663
39,678
40,691
41,705
42,720
43,733
44,747
45,762
46,775
47,790
48,804
49,817
50,831
51,846
52,859
53,873
54,888
55,901
56,916
57,930
58,943
59,958
60,972
61,985
62,999
63,1012
64,1026
65,1041
66,1054
67,1068
68,1083
69,1096
70,1110
71,1125
72,1138
73,1152
74,1167
75,1180
76,1194
77,1209
78,1222
79,1237
80,1251
81,1264
82,1279
83,1293
84,1306
85,1321
86,1335
87,1348
88,1363
89,1377
90,1392
91,1405
92,1419
93,1434
94,1447
95,1461
96,1476
97,1489
98,1503
99,1518
100,1531
101,1546
102,1560
103,1573
104,1588
105,1602
106,1615
107,1630
108,1644
109,1657
110,1672
111,1686
112,1701
113,1714
114,1728
115,1743
116,1756
117,1770
118,1785
119,1798
120,1812
121,1827
122,1840
123,1854
124,1869
125,1882
126,1897
127,1911
128,1924
129,1939
130,1953
131,1967
132,1981
133,1995
134,2010
135,2023
136,2037
137,2052
138,2065
139,2079
140,2094
141,2107
142,2121
143,2136
144,2149
145,2163
146,2178
147,2191
148,2205
149,2220
150,2233
151,2248
152,2262
153,2275
154,2290
155,2304
156,2317
157,2332
158,2346
159,2359
160,2374
161,2388
162,2401
163,2416
164,2430
165,2445
166,2458
167,2472
168,2487
169,2500
170,2514
171,2529
172,2542
173,2556
174,2571
175,2584
176,2598
177,2613
178,2626
179,2640
180,2655
181,2668
182,2683
183,2697
184,2710
185,2724
186,2739
187,2752
188,2766
189,2781
190,2794
191,2809
192,2823
193,2836
194,2851
195,2865
196,2878
197,2892
198,2905
199,2920
200,2934
201,2947
