Time,org.apache.log4j.CategoryKey Data
0,422
1,345
2,302
3,430
4,345
5,308
6,429
7,345
8,303
9,429
10,345
11,306
12,429
13,345
14,308
15,427
16,345
17,302
18,430
19,345
20,308
21,429
22,345
23,308
24,427
25,345
26,302
27,429
28,345
29,306
30,428
31,345
32,306
33,428
34,345
35,306
36,428
37,345
38,302
39,430
40,345
41,308
42,429
43,345
44,306
45,428
46,345
47,305
48,429
49,345
50,308
51,429
52,345
53,306
54,428
55,345
56,302
57,429
58,345
59,306
60,427
61,345
62,302
63,429
64,345
65,315
66,430
67,345
68,311
69,429
70,345
71,306
72,430
73,345
74,311
75,430
76,345
77,311
78,430
79,345
80,309
81,427
82,345
83,305
84,428
85,345
86,305
87,427
88,345
89,307
90,427
91,345
92,305
93,430
94,345
95,311
96,428
97,345
98,305
99,428
100,345
101,307
102,430
103,345
104,311
105,430
106,345
107,311
108,430
109,345
110,311
111,429
112,345
113,311
114,428
115,345
116,305
117,428
118,345
119,305
120,431
121,345
122,313
123,429
124,345
125,306
126,428
127,345
128,307
129,428
130,345
131,305
132,428
133,345
134,305
135,427
136,345
137,305
138,430
139,345
140,311
141,428
142,345
143,305
144,431
145,345
146,311
147,429
148,345
149,311
150,427
151,345
152,305
153,430
154,345
155,311
156,428
157,345
158,309
159,428
160,345
161,309
162,429
163,345
164,305
165,431
166,345
167,311
168,430
169,345
170,311
171,429
172,345
173,307
174,427
175,345
176,305
177,427
178,345
179,305
180,430
181,345
182,311
183,428
184,345
185,307
186,429
187,345
188,305
189,430
190,345
191,311
192,428
193,345
194,309
195,428
196,345
197,309
198,427
199,345
200,307
201,427
202,345
203,305
204,431
205,345
206,311
207,428
208,345
209,307
210,427
211,345
212,305
213,429
214,345
215,309
216,430
217,345
218,315
219,430
220,345
221,311
222,428
223,345
224,305
225,428
226,345
227,311
228,429
229,345
230,307
231,430
232,345
233,311
234,430
235,345
236,315
237,431
238,345
239,311
240,428
241,345
242,305
243,427
244,345
245,309
246,427
247,345
248,305
249,429
250,345
251,308
252,429
253,345
254,311
255,429
256,345
257,305
258,429
259,345
260,311
261,429
262,345
263,311
264,428
265,345
266,307
267,429
268,345
269,309
270,430
271,345
272,311
273,429
274,345
275,307
276,428
277,345
278,308
279,429
280,345
281,309
282,427
283,345
284,309
285,427
286,345
287,305
288,432
289,345
290,315
291,432
292,345
293,317
294,430
295,345
296,311
297,430
298,345
299,311
300,429
301,345
302,311
303,427
304,345
305,305
306,432
307,345
308,313
309,430
310,345
311,314
312,428
313,345
314,307
315,428
316,345
317,306
318,428
319,345
320,305
321,429
322,345
323,309
324,428
325,345
326,309
327,429
328,345
329,305
330,430
331,345
332,311
333,429
334,345
335,309
336,429
337,345
338,306
339,430
340,345
341,311
342,429
343,345
344,309
345,429
346,345
347,305
348,431
349,345
350,315
351,429
352,345
353,306
354,433
355,345
356,317
357,430
358,345
359,314
360,427
361,345
362,305
363,432
364,345
365,313
366,431
367,345
368,317
369,429
370,345
371,308
372,432
373,345
374,317
375,431
376,345
377,311
378,432
379,345
380,315
381,430
382,345
383,311
384,428
385,345
386,309
387,430
388,345
389,311
390,428
391,345
392,305
393,432
394,345
395,313
396,432
397,345
398,315
399,430
400,345
401,311
402,433
403,345
404,317
405,429
406,345
407,307
408,431
409,345
410,312
411,428
412,345
413,309
414,430
415,345
416,315
417,432
418,345
419,317
420,430
421,345
422,311
423,432
424,345
425,317
426,428
427,345
428,305
429,431
430,345
431,311
432,432
433,345
434,317
435,429
436,345
437,305
438,433
439,345
440,317
441,428
442,345
443,311
444,430
445,345
446,311
447,433
448,345
449,317
450,430
451,345
452,311
453,430
454,345
455,311
456,433
457,345
458,317
459,430
460,345
461,311
462,430
463,345
464,311
465,433
466,345
467,317
468,429
469,345
470,311
471,428
472,345
473,309
474,427
475,345
476,305
477,430
478,345
479,311
480,428
481,345
482,309
483,431
484,345
485,315
486,434
487,345
488,427
489,345
490,305
491,428
492,345
493,309
494,432
495,345
496,311
497,431
498,345
499,311
500,432
501,345
502,317
503,428
504,345
505,305
506,429
507,345
508,311
509,427
510,345
511,305
512,429
513,345
514,309
515,431
516,345
517,312
518,430
519,345
520,311
521,432
522,345
523,315
524,433
525,345
526,433
527,345
528,428
529,345
530,305
531,429
532,345
533,311
534,428
535,345
536,308
537,430
538,345
539,311
540,430
541,345
542,315
543,427
544,345
545,305
546,429
547,345
548,307
549,429
550,345
551,311
552,429
553,345
554,305
555,430
556,345
557,311
558,430
559,345
560,312
561,430
562,345
563,310
564,431
565,345
566,311
567,431
568,345
569,315
570,431
571,345
572,311
573,431
574,345
575,315
576,433
577,345
578,317
579,429
580,345
581,307
582,430
583,345
584,311
585,431
586,345
587,311
588,429
589,345
590,307
591,430
592,345
593,311
594,430
595,345
596,311
597,428
598,345
599,308
600,429
601,345
602,311
603,428
604,345
605,305
606,428
607,345
608,305
609,428
610,345
611,308
612,433
613,345
