Time,org.hibernate.engine.Cascade Data
0,210
1,210
2,210
3,210
4,180
5,210
6,210
7,210
8,420
9,420
10,175
11,210
12,420
13,210
14,186
15,210
16,420
17,210
18,210
19,210
20,210
21,237
22,210
23,210
24,273
25,210
26,289
27,210
28,210
29,210
30,420
31,351
32,420
33,322
34,210
35,420
36,336
37,293
38,210
39,210
40,210
41,210
42,210
43,420
44,313
45,210
46,420
47,386
48,420
49,330
50,331
51,210
52,420
53,369
54,420
55,420
56,373
57,420
58,420
59,383
60,420
61,382
62,210
63,265
64,288
65,420
66,371
67,420
68,348
69,380
70,397
71,210
72,420
73,386
74,420
75,396
76,420
77,396
78,420
79,386
80,210
81,327
82,432
83,420
84,420
85,420
86,420
87,373
88,210
89,420
90,340
91,420
92,392
93,420
94,406
95,210
96,293
97,210
98,210
99,210
100,420
101,315
102,334
103,420
104,374
105,210
106,210
107,210
108,424
109,420
